actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0237571,This Mad World,1930,"Drama,Romance,War",6.5,20
nm0173993,Those Who Dance,1930,"Action,Crime,Drama",6.9,40
nm0002233,Three Faces East,1930,Drama,5.8,256
nm0237571,The Three Sisters,1930,,,
nm0545298,True to the Navy,1930,"Action,Comedy,Romance",6.4,141
nm0949835,The Truth About Youth,1930,"Drama,Romance",5.6,343
nm0000075,Up the River,1930,"Comedy,Crime,Drama",5.9,1243
nm0000007,Up the River,1930,"Comedy,Crime,Drama",5.9,1243
nm0682074,Viennese Nights,1930,Musical,7.0,93
nm0404158,The Virtuous Sin,1930,"Drama,Romance,War",5.6,234
nm0599910,War Nurse,1930,"Drama,Romance,War",6.1,330
nm0000891,Way for a Sailor,1930,"Drama,Romance",5.8,608
nm0393028,Road to Rio,1931,"Crime,Drama",6.6,16
nm0841797,What a Widow!,1930,"Comedy,Romance",5.7,61
nm0001452,Wolves,1930,"Crime,Drama",,
nm0000795,Young Eagles,1930,Drama,5.9,45
nm0510134,Young Eagles,1930,Drama,5.9,45
nm0260020,Young Eagles,1930,Drama,5.9,45
nm0001055,Young Man of Manhattan,1930,"Comedy,Musical,Romance",6.1,190
nm0001677,Young Man of Manhattan,1930,"Comedy,Musical,Romance",6.1,190
nm0579663,L'énigmatique Monsieur Parkes,1930,"Comedy,Drama",7.5,15
nm0001055,L'énigmatique Monsieur Parkes,1930,"Comedy,Drama",7.5,15
nm0394244,24 Hours,1931,Drama,6.3,314
nm0002183,Alexander Hamilton,1931,"Biography,Drama,History",5.9,259
nm0832011,Always Goodbye,1931,Drama,6.0,15
nm0001537,Ambassador Bill,1931,Comedy,6.1,159
nm0796662,An American Tragedy,1931,"Crime,Drama,Romance",6.5,828
nm0572142,Annabelle's Affairs,1931,Romance,5.9,32
nm0074949,Ariane,1931,"Drama,Romance",6.6,67
nm0172903,Arrowsmith,1931,Drama,6.2,1748
nm0371040,Arrowsmith,1931,Drama,6.2,1748
nm0002050,Bachelor Apartment,1931,"Comedy,Drama,Romance",6.2,404
nm0001537,The Bachelor Father,1931,"Comedy,Drama,Romance",6.4,1152
nm0007223,Bad Girl,1931,"Drama,Romance",6.5,1365
nm0000012,Bad Sister,1931,Drama,6.2,1327
nm0832011,The Bargain,1931,Drama,5.8,46
nm0000802,Behind Office Doors,1931,"Drama,Romance",6.1,485
nm0510134,Beloved Bachelor,1931,Drama,,
nm0949835,Big Business Girl,1931,"Comedy,Romance",5.9,341
nm0000951,Big Business Girl,1931,"Comedy,Romance",5.9,341
nm0000010,Blonde Crazy,1931,"Comedy,Crime,Drama",7.1,1979
nm0000951,Blonde Crazy,1931,"Comedy,Crime,Drama",7.1,1979
nm0129894,Blonde Crazy,1931,"Comedy,Crime,Drama",7.1,1979
nm0000007,Body and Soul,1931,Drama,6.7,117
nm0771584,Venetian Nights,1931,Drama,4.8,8
nm0237571,Caught,1931,"Romance,Western",6.4,34
nm0000891,The Champ,1931,"Drama,Family,Sport",7.3,3183
nm0178114,The Champ,1931,"Drama,Family,Sport",7.3,3183
nm0228715,Cimarron,1931,"Drama,Western",5.9,6195
nm0002050,Cimarron,1931,"Drama,Western",5.9,6195
nm0062828,The Cisco Kid,1931,Western,6.8,92
nm0000011,City Streets,1931,"Crime,Drama,Film-Noir",7.0,1638
nm0796662,City Streets,1931,"Crime,Drama,Film-Noir",7.0,1638
nm0510134,City Streets,1931,"Crime,Drama,Film-Noir",7.0,1638
